Товар 1С,Артикул,Цена 1С (руб),Маркетплейс,Название на маркетплейсе,Цена конкурента (руб),Разница (руб),Разница (%),Совпадение (%),Ссылка
"Гайка М16х1,5 для фитинга Н655",_Гайка_М16х,300.0,Wildberries,"ПРОМАВТОМЕТИЗ/Гайка М16х1,5 ГОСТ 5915-70, 5927-70, КП 6 /Гайка М16х1,5 ГОСТ 5915-70, 5927-70, КП 6",362.0,62.0,20.7,65.0,https://www.wildberries.ru/catalog/440623793/detail.aspx
"Гайка М16х1,5 для фитинга Н655",_Гайка_М16х,300.0,Wildberries,"ПРОМАВТОМЕТИЗ/Гайка низкая М16х1,5 1 07914 11 автомобильная /Гайка низкая М16х1,5 1 07914 11 автомобильная",314.0,14.0,4.7,65.0,https://www.wildberries.ru/catalog/450902634/detail.aspx
"Гайка М16х1,5 для фитинга Н655",_Гайка_М16х,300.0,Wildberries,"ПРОМАВТОМЕТИЗ/Гайка низкая М16х1,5 1 07914 11 автомобильная /Гайка низкая М16х1,5 1 07914 11 автомобильная",493.0,193.0,64.3,65.0,https://www.wildberries.ru/catalog/450902635/detail.aspx
"Гайка М16х1,5 для фитинга Н655",_Гайка_М16х,300.0,Wildberries,"ПРОМАВТОМЕТИЗ/Гайка низкая М16х1,5 1 07914 11 автомобильная /Гайка низкая М16х1,5 1 07914 11 автомобильная",856.0,556.0,185.3,65.0,https://www.wildberries.ru/catalog/450902636/detail.aspx
"Гайка М16х1,5 для фитинга Н655",_Гайка_М16х,300.0,Wildberries,"ПРОМАВТОМЕТИЗ/Гайка низкая М16х1,5 1 07914 11 автомобильная /Гайка низкая М16х1,5 1 07914 11 автомобильная",394.0,94.0,31.3,65.0,https://www.wildberries.ru/catalog/450902632/detail.aspx
525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА,MVXZ2-MLJ_525_MVXZ2-,500.0,Не найдено,,,,,,
525 SROZ2-SKJ/G ЗАМОК-ЗАЩЕЛКА GOLD,SROZ2-SKJ_525_SROZ2-,500.0,Не найдено,,,,,,
530 SROZ2-SKJ ЗАМОК-ЗАЩЁЛКА,SROZ2-SKJ_530_SROZ2-,400.0,Wildberries,zamok-opt/Замок-защёлка регулируемый Х-100 ЦИНК /Замок-защёлка регулируемый Х-100 ЦИНК,355.0,-45.0,-11.2,68.0,https://www.wildberries.ru/catalog/23812065/detail.aspx
530 SROZ2-SKJ ЗАМОК-ЗАЩЁЛКА,SROZ2-SKJ_530_SROZ2-,400.0,Wildberries,zamok-opt/Замок-защёлка накладной W-528 НИКЕЛЬ /Замок-защёлка накладной W-528 НИКЕЛЬ,197.0,-203.0,-50.8,68.0,https://www.wildberries.ru/catalog/33111416/detail.aspx
530 SROZ2-SKJ ЗАМОК-ЗАЩЁЛКА,SROZ2-SKJ_530_SROZ2-,400.0,Wildberries,zamok-opt/Замок-защёлка с пружиной накладной W-538 НИКЕЛЬ /Замок-защёлка с пружиной накладной W-538 НИКЕЛЬ,216.0,-184.0,-46.0,68.0,https://www.wildberries.ru/catalog/33091572/detail.aspx
