"Товар 1С";"Артикул";"Цена 1С (руб)";"Маркетплейс";"Название на маркетплейсе";"Цена конкурента (руб)";"Разница (руб)";"Разница (%)";"Совпадение (%)";"Ссылка"
"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Avito";"Sdbtr snow division Батарея Для Очков С Подогревом 509 S1 Ignite Aviator 2.0 F02011300-001, F0201130 в Красноярске";"6500.0";"-9600.0";"-59.6";"90.0";"https://www.avito.ru/krasnoyarsk/zapchasti_i_aksessuary/sdbtr_snow_division_batareya_dlya_ochkov_s_podogrevom_509_s1_ignite_aviator_2.0_f02011300-001_f0201130_3736683010"
"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Avito";"Батарея 509 S1 Ignite для очков Aviator 2.0 S1 F02011300-001 в Красноярске";"20400.0";"4300.0";"26.7";"78.0";"https://www.avito.ru/krasnoyarsk/zapchasti_i_aksessuary/batareya_509_s1_ignite_dlya_ochkov_aviator_2.0_s1_f02011300-001_2297479327"
"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Wildberries";"509/Очки горнолыжные (снегоходные) Aviator 2.0 S1 с подогревом /Очки горнолыжные (снегоходные) Aviator 2.0 S1 с подогревом";"61200.0";"45100.0";"280.1";"72.0";"https://www.wildberries.ru/catalog/302382218/detail.aspx"
"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Wildberries";"509/Очки горнолыжные снегоходные Aviator 2.0 S1 с подогревом /Очки горнолыжные снегоходные Aviator 2.0 S1 с подогревом";"61200.0";"45100.0";"280.1";"72.0";"https://www.wildberries.ru/catalog/302378802/detail.aspx"
"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Avito";"Очки 509 Aviator 2.0 S1 Flow Whiteout с подогревом в Санкт-Петербурге";"60990.0";"44890.0";"278.8";"72.0";"https://www.avito.ru/sankt-peterburg/zapchasti_i_aksessuary/ochki_509_aviator_2.0_s1_flow_whiteout_s_podogrevom_4600316591"
"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Avito";"Очки 509 Aviator 2.0 S1 с подогревом в Радужном";"47481.0";"31381.0";"194.9";"72.0";"https://www.avito.ru/vladimirskaya_oblast_raduzhnyy/zapchasti_i_aksessuary/ochki_509_aviator_2.0_s1_s_podogrevom_3628878872"
"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Avito";"Очки 509 Aviator 2.0 S1 Flow с подогревом (shark в Красноярске";"54570.0";"38470.0";"238.9";"72.0";"https://www.avito.ru/krasnoyarsk/odezhda_obuv_aksessuary/ochki_509_aviator_2.0_s1_flow_s_podogrevom_shark_4701903657"
"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Avito";"Очки с подогревом 509 Aviator 2.0 Ignite S1 в Радужном";"47481.0";"31381.0";"194.9";"72.0";"https://www.avito.ru/vladimirskaya_oblast_raduzhnyy/zapchasti_i_aksessuary/ochki_s_podogrevom_509_aviator_2.0_ignite_s1_2285222835"
"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Avito";"Очки 509 Aviator 2.0 Ignite S1 Flow с подогревом в Красноярске";"59245.0";"43145.0";"268.0";"72.0";"https://www.avito.ru/krasnoyarsk/odezhda_obuv_aksessuary/ochki_509_aviator_2.0_ignite_s1_flow_s_podogrevom_7709334231"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Backshift BOA с утеплителем. Black в Новокузнецке";"24990.0";"-31660.0";"-55.9";"100.0";"https://www.avito.ru/novokuznetsk/odezhda_obuv_aksessuary/botinki_fxr_backshift_boa_s_uteplitelem._black_7429957148"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки снегоходные FXR Helium BOA с утеплителем в Москве";"34000.0";"-22650.0";"-40.0";"89.0";"https://www.avito.ru/moskva/sport_i_otdyh/botinki_snegohodnye_fxr_helium_boa_s_uteplitelem_7709036187"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Helium Dual BOA с утеплителем в Петрозаводске";"70363.0";"13713.0";"24.2";"89.0";"https://www.avito.ru/petrozavodsk/sport_i_otdyh/botinki_fxr_helium_dual_boa_s_uteplitelem_2693593728"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Helium Dual BOA с утеплителем Black 11 в Перми";"56300.0";"-350.0";"-0.6";"89.0";"https://www.avito.ru/perm/odezhda_obuv_aksessuary/botinki_fxr_helium_dual_boa_s_uteplitelem_black_11_2483945741"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Helium BOA с утеплителем Black/Hi Vis в Уфе";"42950.0";"-13700.0";"-24.2";"89.0";"https://www.avito.ru/ufa/zapchasti_i_aksessuary/botinki_fxr_helium_boa_s_uteplitelem_blackhi_vis_3209486473"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Helium BOA с утеплителем (Black, 7/9) в Уфе";"42950.0";"-13700.0";"-24.2";"89.0";"https://www.avito.ru/ufa/zapchasti_i_aksessuary/botinki_fxr_helium_boa_s_uteplitelem_black_79_3209712338"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Elevation Dual BOA с утеплителем в Тюмени";"63642.0";"6992.0";"12.3";"89.0";"https://www.avito.ru/tyumen/zapchasti_i_aksessuary/botinki_fxr_elevation_dual_boa_s_uteplitelem_2053309429"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Elevation Dual BOA с утеплителем Black в Самаре";"64100.0";"7450.0";"13.2";"89.0";"https://www.avito.ru/samara/zapchasti_i_aksessuary/botinki_fxr_elevation_dual_boa_s_uteplitelem_black_7696936940"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Elevation Dual BOA с утеплителем Black в Перми";"62500.0";"5850.0";"10.3";"89.0";"https://www.avito.ru/perm/odezhda_obuv_aksessuary/botinki_fxr_elevation_dual_boa_s_uteplitelem_black_3315976111"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки снегоходные FXR Helium BOA с утеплителем в Москве";"34000.0";"-22650.0";"-40.0";"89.0";"https://www.avito.ru/moskva/sport_i_otdyh/botinki_snegohodnye_fxr_helium_boa_s_uteplitelem_7709036187"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Helium Dual BOA с утеплителем в Петрозаводске";"70363.0";"13713.0";"24.2";"89.0";"https://www.avito.ru/petrozavodsk/sport_i_otdyh/botinki_fxr_helium_dual_boa_s_uteplitelem_2693593728"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Helium Dual BOA с утеплителем Black 11 в Перми";"56300.0";"-350.0";"-0.6";"89.0";"https://www.avito.ru/perm/odezhda_obuv_aksessuary/botinki_fxr_helium_dual_boa_s_uteplitelem_black_11_2483945741"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Helium BOA с утеплителем в Сургуте";"43000.0";"-13650.0";"-24.1";"89.0";"https://www.avito.ru/surgut/zapchasti_i_aksessuary/botinki_fxr_helium_boa_s_uteplitelem_4255520945"
